Time,Ref_X,Ref_Y,Sol_X,Sol_Y
0,0.5,0,0.5,0
0.1,0.498459,0.0392295,0.498459,0.0392295
0.2,0.493844,0.0782172,0.493844,0.0782172
0.3,0.486185,0.116723,0.486185,0.116723
0.4,0.475528,0.154508,0.475528,0.154508
0.5,0.46194,0.191342,0.46194,0.191342
0.6,0.445503,0.226995,0.445503,0.226995
0.7,0.42632,0.261249,0.42632,0.261249
0.8,0.404508,0.293893,0.404508,0.293893
0.9,0.380203,0.324724,0.380203,0.324724
1,0.353553,0.353553,0.353553,0.353553
1.1,0.324724,0.380203,0.324724,0.380203
1.2,0.293893,0.404508,0.293893,0.404508
1.3,0.261249,0.42632,0.261249,0.42632
1.4,0.226995,0.445503,0.226995,0.445503
1.5,0.191342,0.46194,0.191342,0.46194
1.6,0.154508,0.475528,0.154508,0.475528
1.7,0.116723,0.486185,0.116723,0.486185
1.8,0.0782172,0.493844,0.0782172,0.493844
1.9,0.0392295,0.498459,0.0392295,0.498459
2,3.06162e-17,0.5,4.99465e-08,0.5
